#Coverage	Number of genomic locations
537.0	2166.0
538.0	2932.0
539.0	2971.0
540.0	2848.0
541.0	2511.0
542.0	2773.0
543.0	2532.0
544.0	2272.0
545.0	2889.0
546.0	2773.0
547.0	3739.0
548.0	3016.0
549.0	3121.0
550.0	2449.0
551.0	1833.0
552.0	1134.0
553.0	1034.0
554.0	1267.0
555.0	1940.0
556.0	1638.0
557.0	1398.0
558.0	1087.0
559.0	1343.0
560.0	1223.0
561.0	1510.0
562.0	1394.0
563.0	1303.0
564.0	1707.0
565.0	1929.0
566.0	1910.0
567.0	2104.0
568.0	1805.0
569.0	1719.0
570.0	1371.0
571.0	1607.0
572.0	1571.0
573.0	1279.0
574.0	1013.0
575.0	1341.0
576.0	964.0
577.0	1365.0
578.0	1170.0
579.0	1147.0
580.0	1182.0
581.0	802.0
582.0	1035.0
583.0	1017.0
584.0	921.0
585.0	1031.0
586.0	1008.0
587.0	782.0
588.0	903.0
589.0	939.0
590.0	1045.0
591.0	702.0
592.0	757.0
593.0	805.0
594.0	761.0
595.0	799.0
596.0	683.0
597.0	693.0
598.0	1076.0
599.0	1013.0
600.0	1228.0
601.0	962.0
602.0	738.0
603.0	760.0
604.0	1013.0
605.0	1010.0
606.0	1183.0
607.0	1180.0
608.0	1053.0
609.0	1039.0
610.0	1096.0
611.0	1045.0
612.0	930.0
613.0	855.0
614.0	915.0
615.0	745.0
616.0	1086.0
617.0	749.0
618.0	705.0
619.0	663.0
620.0	1046.0
621.0	1020.0
622.0	1214.0
623.0	1065.0
624.0	983.0
625.0	1133.0
626.0	1008.0
627.0	1203.0
628.0	1219.0
629.0	860.0
630.0	1075.0
631.0	1189.0
632.0	1143.0
633.0	1153.0
634.0	915.0
635.0	981.0
636.0	1119.0
637.0	1331.0
638.0	1505.0
639.0	1196.0
640.0	1312.0
641.0	1060.0
642.0	1148.0
643.0	1201.0
644.0	1245.0
645.0	692.0
646.0	814.0
647.0	1079.0
648.0	907.0
649.0	1255.0
650.0	1062.0
651.0	1208.0
652.0	1115.0
653.0	1265.0
654.0	1085.0
655.0	1289.0
656.0	1350.0
657.0	1097.0
658.0	1299.0
659.0	1106.0
660.0	540.0
661.0	675.0
662.0	725.0
663.0	550.0
664.0	560.0
665.0	478.0
666.0	693.0
667.0	822.0
668.0	651.0
669.0	632.0
670.0	780.0
671.0	773.0
672.0	638.0
673.0	976.0
674.0	596.0
675.0	750.0
676.0	867.0
677.0	660.0
678.0	761.0
679.0	1079.0
680.0	1047.0
681.0	783.0
682.0	932.0
683.0	792.0
684.0	752.0
685.0	1006.0
686.0	1055.0
687.0	839.0
688.0	1044.0
689.0	1206.0
690.0	1240.0
691.0	1337.0
692.0	1329.0
693.0	903.0
694.0	849.0
695.0	1016.0
696.0	1136.0
697.0	1382.0
698.0	1271.0
699.0	1486.0
700.0	1393.0
701.0	991.0
702.0	1075.0
703.0	1300.0
704.0	1025.0
705.0	839.0
706.0	753.0
707.0	813.0
708.0	1259.0
709.0	1028.0
710.0	818.0
711.0	830.0
712.0	668.0
713.0	536.0
